title,global_sales
Wii Sports,82.74
Wii Sports,82.74
Wii Sports,82.74
Super Mario Bros.,40.24
Mario Kart Wii,35.82
Mario Kart Wii,35.82
Mario Kart Wii,35.82
Tetris,30.26
Tetris,30.26
Tetris,30.26
