genre,avg_rating
misc,3.9
role-playing,3.8757009345794393
puzzle,3.8619047619047615
strategy,3.8588235294117643
action,3.677092511013216
adventure,3.632183908045977
platform,3.629447852760736
shooter,3.53125
simulation,3.52
sports,3.465625
